price_grain,cost_n_fert,cost_n_social,price_ratio,location,year,time_n,base_zero,eonr,theta2_error,ci_level,ci_wald_l,ci_wald_u,ci_pl_l,ci_pl_u,ci_boot_l,ci_boot_u,mrtn,grtn_r2_adj,grtn_rmse,grtn_max_y,grtn_crit_x,grtn_y_int,scn_lin_r2,scn_lin_rmse,scn_exp_r2,scn_exp_rmse
0.157,0.88,0,5.605,Minnesota,2012,Pre,1214.5088817790702,162.33960717944322,-0.0002093697463863009,0.9,107.46197768284577,217.21723667604067,130.45746894836023,207.82734213347297,131.61188812778045,200.98049472005823,767.9288421147544,0.7289260399361104,181.22599277752767,917.4318937215639,177.44005556331103,1214.5088817790702,,,,
0.157,1.32,1.1,15.414012738853502,Minnesota,2012,Pre,1214.5088817790702,146.48013859988185,-0.00011674007151896149,0.9,110.32049554773275,182.63978165203096,120.34582176096112,181.09918091132178,121.5962257720723,176.170227901974,727.4279605062623,0.7289260399361104,181.22599277752767,917.4318937215639,177.44005556331103,1214.5088817790702,0.777106498296637,139.3136910408801,0.8360986876693925,21.118415073658756
