price_grain,cost_n_fert,cost_n_social,price_ratio,unit_price_grain,unit_cost_n,location,year,time_n,base_zero,eonr,eonr_bias,R*,costs_at_onr,ci_level,ci_wald_l,ci_wald_u,ci_pl_l,ci_pl_u,ci_boot_l,ci_boot_u,mrtn,grtn_r2_adj,grtn_rmse,grtn_max_y,grtn_crit_x,grtn_y_int,scn_lin_r2,scn_lin_rmse,scn_exp_r2,scn_exp_rmse
1.0,0,0,0.0,$ per ha,$ per kg,Minnesota,2012,Pre,,177.43733940698303,0.002643827771692031,0.0,0.0,0.9,122.56177598011655,232.3129028338495,139.899747753359,234.01449171263286,,,13579.232456039266,0.7289260401689477,1154.3056859853261,13579.232456039266,177.43733940680588,7735.725352320717,,,,
1.0,0,0,0.0,$ per ha,$ per kg,Minnesota,2012,Pre,,177.43733940698303,0.002643827771692031,0.0,0.0,0.9,122.56177598011655,232.3129028338495,139.899747753359,234.01449171263286,139.97654482182804,225.9355202361527,13579.232456039266,0.7289260401689477,1154.3056859853261,13579.232456039266,177.43733940680588,7735.725352320717,,,,
0.157,0.44,0,2.8025477707006368,$ per ha,$ per kg,Minnesota,2012,Pre,,169.8874699941945,0.0024186471055145375,0.43999999999999995,74.75048679744559,0.9,115.01189925241638,224.76304073597262,135.19662830864124,220.86056496959625,,,2055.5280381230195,0.7289260401689893,181.22599269968228,2131.939496384413,177.43734028433136,1214.5088817790702,,,,
0.157,1.32,0,8.40764331210191,$ per ha,$ per kg,Minnesota,2012,Pre,,154.78773170639144,0.0019668819432752116,1.32,204.3198058524367,0.9,104.55975827783378,205.0157051349491,125.6786637078203,194.9697499486729,,,1912.670950382505,0.7289260401689893,181.22599269968228,2131.939496384413,177.43734028433136,1214.5088817790702,,,,
0.157,2.2,0,14.012738853503185,$ per ha,$ per kg,Minnesota,2012,Pre,,139.6879867693666,0.0015230857973733691,2.2,307.31357089260655,0.9,98.61671018953098,180.75926334920223,115.91556705478979,170.07452738004014,,,1783.101634351688,0.7289260401689893,181.22599269968228,2131.939496384413,177.43734028433136,1214.5088817790702,,,,
0.157,0.88,0.44,8.40764331210191,$ per ha,$ per kg,Minnesota,2012,Pre,1214.5088817790702,158.66246065816134,0.0,1.0943054781639283,129.5943188979629,0.9,115.28572728412598,202.0391940321967,128.13531162301243,201.53861245671183,,,777.5650871754423,0.7289260402105602,181.22599268578622,917.4335799200123,177.43998494479018,0.0029636245501645352,0.777106498296637,55.72547641635204,0.8360986876694557,8.447366029461874
0.157,0.88,1.32,14.012738853503185,$ per ha,$ per kg,Minnesota,2012,Pre,1214.5088817790702,151.9092292447645,0.0,1.4878663128183263,99.37186040769106,0.9,112.5693277014941,191.2491307880349,123.83819828944635,190.12094301394657,,,799.06854383889,0.7289260402105602,181.22599268578622,917.4335799200123,177.43998494479018,0.0029636245501645352,0.777106498296637,167.17642924905613,0.8360986876693874,25.342098088390898
0.157,0.88,2.2,19.61783439490446,$ per ha,$ per kg,Minnesota,2012,Pre,1214.5088817790702,145.8133201570026,0.0,1.8431201049211143,65.11312605548063,0.9,110.05488463199514,181.57175568201006,119.91391207013572,180.00202274933895,,,823.1745830035459,0.7289260402105602,181.22599268578622,917.4335799200123,177.43998494479018,0.0029636245501645352,0.777106498296637,278.6273820817602,0.8360986876694472,42.23683014731048
0.157,0.88,4.4,33.63057324840764,$ per ha,$ per kg,Minnesota,2012,Pre,1214.5088817790702,132.69673710050267,0.0,2.607520591077905,-33.57085315134209,0.9,104.33584859300434,161.057625608001,111.24887866125651,159.10799424759654,,,892.6699630385135,0.7289260402105602,181.22599268578622,917.4335799200123,177.43998494479018,0.0029636245501645352,0.777106498296637,557.2547641635203,0.8360986876694325,84.47366029462471
